nic2,total_gva20,total_output20,total_labour_cost20,total_emoluments20,total_capital20,factory_count20,labour_intensity20,gva_per_labour_cost20,capital_gva_ratio20,total_gva21,total_output21,total_labour_cost21,total_emoluments21,total_capital21,factory_count21,labour_intensity21,gva_per_labour_cost21,capital_gva_ratio21,total_gva22,total_output22,total_labour_cost22,total_emoluments22,total_capital22,factory_count22,labour_intensity22,gva_per_labour_cost22,capital_gva_ratio22,gva_drop_pct,gva_recovery_pct,labour_intensity_baseline,labour_intensive,min_factory_count
10,21341786602912.91,22037881181899.19,5664578874340.627,5932203194882.416,19980015193238.5,6734,.28351223,3.7675858,.93619227,22999411180989.25,23365910032642.5,6278882730587.49,6508269202179.525,23408716279965.75,6794,.26822841,3.6629784,1.0177963,26466704288261,27220141099273.25,6375625058364.295,6710711199092.92,24756989839642.5,6919,.25752828,4.1512327,.93540132,7.7670374,15.075573,.28351223,Capital-intensive,6734
11,1595208732772,2920202386806,985843370332,1050317331032.5,2241152486223.5,869,.43988234,1.6181158,1.4049274,1536833389934,2726042640128,1106874500019.75,1139104583199.75,2466174735848.75,887,.44882241,1.3884441,1.6047119,1731081311317,3177581918980,1118192466852,1200060745104,2597282356436.5,894,.43052402,1.5481068,1.5003815,-3.6594172,12.639491,.43988234,Labour-intensive,869
12,752377940305.25,1114957426924.75,151095369428.1875,144647577778.5625,606313477383.4063,575,.24920338,4.9794903,.8058629,908427956342.125,1354820622145.25,166463367649.8906,159992528176.6875,894827200764.4141,561,.18602851,5.4572244,.98502827,802904870831.9063,1210470947532.281,144444787688.8532,141185259779.2946,699365066562.1875,543,.20653704,5.5585589,.8710435,20.740908,-11.616011,.24920338,Capital-intensive,543
13,6590998600208.75,6684677105750,4294151986861.787,4302528092049.731,8172779474243.625,3002,.52542126,1.5348778,1.2399911,6280671402729.5,6516707554822.5,3993208651611.503,3873757932587.472,8998260160297.301,3017,.44377562,1.5728383,1.4326909,9174396081415,9288215242200,3754723998285.056,3896879177782.712,10550216770177,3056,.35589069,2.4434276,1.149963,-4.7083488,46.073494,.52542126,Labour-intensive,3002
14,2725946207352.813,2782700101476,842250277668,881483734759.625,3779689830087,2239,.22283582,3.2365038,1.3865607,2286643021673.375,2369791620542.375,914884153257.6072,860499647679.2322,3885628268998.5,2286,.23545334,2.4993799,1.6992719,3314439446342,3373303482564.75,850947505911.75,925707752958,4617328402614,2401,.18429434,3.8949988,1.3930948,-16.115622,44.94783,.22283582,Capital-intensive,2239
15,1182540622375.5,1218606503844,343486616027.5,365932195967,1610192651050,915,.2133202,3.4427559,1.3616383,953833041168.125,988422855192.625,357467242236.5,358547197041,1570414059694,943,.22762612,2.668309,1.6464244,1204498961758,1234113003320.5,354588344350.75,373193708242.75,1764957432969,860,.20090476,3.3968937,1.4653043,-19.340357,26.279854,.2133202,Capital-intensive,860
16,1588075244478.75,1657370901980.25,364061087744.25,365360553114.75,1825872862753,1233,.19939016,4.362112,1.1497395,1678810750062,1702529718944,369268411068,387662748246,2124122353827.5,1263,.17384517,4.5463157,1.2652543,2259558396353,2284619054634,331031951722.375,355006233255.5,2175528257786,1306,.15216164,6.8258014,.96281123,5.713552,34.5928,.19939016,Capital-intensive,1233
17,2576742583465,2678809584785,1675877876414.75,1756433357805.25,2801090866350,1278,.59829473,1.5375479,1.0870667,2414469515810,2525487291987,1739121198343.886,1763785454501.574,2845759827120,1318,.6111272,1.3883274,1.1786274,3301436084832,3462284554006,1771473888685.08,1874480316749.58,3231000474477,1321,.5482741,1.8636663,.97866517,-6.297605,36.735462,.59829473,Labour-intensive,1278
18,566087583517,596141613894,388547369909,385128966403.5,1118736167084.529,695,.3473092,1.4569333,1.9762598,369262504689.5,385327780320.5,382449552972,365095767578,941483328905,674,.4062202,.96551949,2.5496316,459268594628,478832756800,362091179605.75,352600321161.5,1047369133468.5,668,.34571496,1.2683783,2.2805154,-34.769367,24.374554,.3473092,Labour-intensive,668
19,20593068758386,24363861654562,12058823716945.5,13987988178490,8364580312334,501,1.4416531,1.7077179,.40618426,15826259109222,22302946200506,15033228279281.5,15363787272491.5,10940364243299,531,1.3741068,1.0527519,.69127923,25746065367690,31748905275392,14945676979222.5,13145538880983,15487557714618,572,.96501189,1.722643,.60155046,-23.14764,62.679413,1.4416531,Labour-intensive,501
